44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
20,20,20,20,20,2,2,2,2,2,21,21,17,17,17,21,2,2,26,2,21,2,2,2,2,2,2,2,2,21,21,21,21,21,21,21,21,2,2,2
29,29,29,29,29,2,2,2,2,21,17,17,21,21,21,17,26,26,26,2,21,2,2,21,21,2,2,2,2,2,2,2,2,2,21,21,2,2,2,2
20,20,20,20,20,2,2,2,17,17,17,3,21,26,26,26,26,21,17,17,17,21,21,2,21,2,21,21,21,21,3,3,21,21,21,2,2,2,2,2
29,29,29,29,29,2,2,17,17,21,21,2,21,26,2,2,21,21,21,21,17,17,17,21,21,21,21,2,3,21,21,21,21,21,21,2,2,2,2,2
20,20,20,20,20,2,2,17,3,21,21,2,21,3,8,8,8,8,8,21,26,26,26,26,26,26,2,3,3,21,21,2,2,2,2,21,21,21,2,2
29,29,29,29,29,3,3,17,3,21,3,21,8,8,8,21,21,2,8,8,8,2,2,17,17,21,2,3,21,21,2,8,8,8,8,2,2,21,2,2
20,20,20,20,20,3,3,17,3,21,8,8,8,3,3,3,2,2,2,2,8,2,2,2,17,21,21,3,21,8,8,8,2,2,2,2,2,21,2,2
29,29,29,29,29,3,3,2,8,8,21,21,2,3,16,3,16,16,16,16,16,16,16,16,16,2,21,21,8,8,2,2,2,16,2,2,2,21,26,2
20,20,20,20,20,2,3,21,8,2,21,2,2,2,16,3,16,35,2,3,3,2,2,2,16,2,3,8,8,2,2,2,16,16,2,2,21,26,26,2
29,29,29,29,29,2,3,2,8,8,21,2,2,2,16,2,33,38,38,38,43,2,2,16,16,2,2,8,21,21,2,2,2,2,21,21,26,26,2,2
20,20,20,20,20,2,3,2,2,8,8,8,16,16,16,16,2,2,3,3,34,2,2,16,2,2,8,8,2,21,2,2,2,2,21,21,26,2,2,2
29,29,29,29,29,2,3,2,2,2,21,8,26,26,2,16,16,2,2,2,34,3,2,16,2,2,8,21,26,26,21,2,2,26,21,2,26,2,2,2
1,1,1,1,1,2,3,2,2,2,21,2,8,26,26,2,2,2,2,42,39,3,3,16,16,2,8,2,26,2,21,21,21,26,2,2,2,2,2,2
1,1,1,1,1,2,3,2,21,2,21,2,8,2,26,2,2,2,2,34,34,2,3,3,2,2,2,2,26,2,21,21,21,26,2,2,21,2,2,2
1,1,1,1,1,3,3,2,2,2,21,2,8,8,2,2,2,2,2,34,34,2,2,3,2,3,3,3,3,2,21,2,21,26,2,2,21,2,2,2
1,1,1,1,1,3,3,2,2,2,21,2,2,8,8,16,2,2,16,34,34,2,3,3,3,3,2,2,3,3,21,21,2,21,21,2,21,2,2,2
1,1,12,1,1,2,3,3,3,2,26,26,2,21,8,16,2,3,3,41,39,3,3,3,16,16,2,2,2,26,21,8,21,2,21,2,21,2,2,2
1,1,1,1,1,2,3,3,3,21,21,26,3,3,3,16,3,3,3,32,32,3,3,16,16,2,2,2,21,26,21,8,21,21,21,21,21,2,2,2
1,1,1,1,1,3,3,2,2,2,21,21,21,21,3,3,3,3,26,26,16,26,3,16,3,3,21,21,21,26,3,8,8,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,21,21,2,2,2,2,16,2,26,2,2,21,21,21,3,3,26,3,2,8,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,21,21,2,2,2,2,2,2,2,21,21,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,21,21,21,2,2,2,2,21,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
